"Date","Price","Open","High","Low","Vol.","Change %"
"16/07/2024","4.700","4.770","4.780","4.695","781.15K","-1.26%"
"15/07/2024","4.760","4.800","4.800","4.740","497.25K","-0.42%"
"12/07/2024","4.780","4.770","4.820","4.750","569.14K","0.63%"
"11/07/2024","4.750","4.690","4.760","4.650","1.06M","2.37%"
"10/07/2024","4.640","4.640","4.670","4.620","680.17K","-0.43%"
"09/07/2024","4.660","4.640","4.730","4.610","1.14M","1.08%"
"08/07/2024","4.610","4.570","4.620","4.570","916.74K","0.66%"
"05/07/2024","4.580","4.540","4.600","4.535","1.23M","0.88%"
"04/07/2024","4.540","4.550","4.560","4.505","626.79K","1.11%"
"03/07/2024","4.490","4.510","4.550","4.470","603.42K","-0.44%"
"02/07/2024","4.510","4.580","4.580","4.500","755.86K","-1.53%"
"01/07/2024","4.580","4.550","4.590","4.540","548.46K","0.00%"
"28/06/2024","4.580","4.540","4.600","4.520","1.16M","1.55%"
"27/06/2024","4.510","4.440","4.510","4.420","1.10M","0.22%"
"26/06/2024","4.500","4.660","4.660","4.490","1.33M","-3.64%"
"25/06/2024","4.670","4.700","4.720","4.630","1.05M","-0.43%"
"24/06/2024","4.690","4.750","4.780","4.680","685.73K","-0.85%"
"21/06/2024","4.730","4.670","4.730","4.650","1.46M","1.94%"
"20/06/2024","4.640","4.650","4.730","4.620","1.12M","-1.49%"
"19/06/2024","4.710","4.680","4.710","4.640","1.32M","0.64%"
"18/06/2024","4.680","4.710","4.710","4.650","1.06M","0.00%"
"17/06/2024","4.680","4.670","4.730","4.630","757.60K","0.21%"
"14/06/2024","4.670","4.660","4.680","4.640","319.05K","0.21%"
"13/06/2024","4.660","4.680","4.680","4.630","662.33K","0.43%"
"12/06/2024","4.640","4.640","4.650","4.590","531.25K","0.65%"
"11/06/2024","4.610","4.660","4.675","4.600","564.93K","-1.50%"
"07/06/2024","4.680","4.650","4.690","4.640","518.99K","0.65%"
"06/06/2024","4.650","4.680","4.695","4.630","366.27K","-0.43%"
"05/06/2024","4.670","4.670","4.740","4.650","2.79M","0.65%"
"04/06/2024","4.640","4.650","4.690","4.610","994.28K","0.43%"
"03/06/2024","4.620","4.650","4.660","4.600","366.97K","-0.65%"
"31/05/2024","4.650","4.630","4.650","4.580","708.75K","1.31%"
"30/05/2024","4.590","4.540","4.615","4.530","833.95K","0.44%"
"29/05/2024","4.570","4.480","4.620","4.480","1.24M","0.22%"
"28/05/2024","4.560","4.560","4.585","4.530","826.16K","0.00%"
"27/05/2024","4.560","4.610","4.650","4.550","1.09M","-0.87%"
"24/05/2024","4.600","4.610","4.650","4.580","496.81K","-1.50%"
"23/05/2024","4.670","4.610","4.685","4.585","1.61M","0.43%"
"22/05/2024","4.650","4.690","4.690","4.590","1.70M","-0.85%"
"21/05/2024","4.690","4.630","4.705","4.580","1.35M","0.86%"
"20/05/2024","4.650","4.580","4.680","4.550","913.85K","1.31%"
"17/05/2024","4.590","4.600","4.640","4.580","1.21M","-0.65%"
"16/05/2024","4.620","4.580","4.620","4.520","1.94M","2.44%"
"15/05/2024","4.510","4.550","4.580","4.490","855.34K","-0.66%"
"14/05/2024","4.540","4.540","4.570","4.520","462.72K","-0.22%"
"13/05/2024","4.550","4.570","4.570","4.510","576.19K","0.44%"
"10/05/2024","4.530","4.500","4.565","4.490","551.57K","1.12%"
"09/05/2024","4.480","4.470","4.530","4.450","1.11M","0.45%"
"08/05/2024","4.460","4.430","4.485","4.430","1.05M","0.90%"
"07/05/2024","4.420","4.440","4.480","4.420","1.50M","-0.90%"
"06/05/2024","4.460","4.440","4.460","4.390","1.07M","0.22%"
"03/05/2024","4.450","4.440","4.470","4.400","1.12M","0.45%"
"02/05/2024","4.430","4.490","4.500","4.430","1.01M","-1.56%"
"01/05/2024","4.500","4.430","4.520","4.420","1.36M","-0.22%"
"30/04/2024","4.510","4.490","4.580","4.410","2.90M","3.44%"
"29/04/2024","4.360","4.290","4.370","4.225","1.38M","5.31%"
"26/04/2024","4.140","4.160","4.190","4.140","704.22K","-1.90%"
"24/04/2024","4.220","4.290","4.290","4.200","560.91K","-0.94%"
"23/04/2024","4.260","4.250","4.300","4.250","493.39K","-0.47%"
"22/04/2024","4.280","4.230","4.290","4.220","859.97K","2.64%"
"19/04/2024","4.170","4.210","4.220","4.160","1.04M","-1.88%"
"18/04/2024","4.250","4.260","4.290","4.250","444.14K","-0.23%"
"17/04/2024","4.260","4.200","4.320","4.200","998.78K","1.43%"
"16/04/2024","4.200","4.270","4.280","4.200","1.07M","-2.33%"
